FILIST,,,,,,,,,,,,,,
7159,,,,,,,,,,,,,,
64491,64491,64491,64491,121 Financial Credit Union,https://121fcu.org/,904.723.6300,https://secure.121fcu.org/121financialcredituniononline_41/Uux.aspx#/login,ACTIVE,BANKING&DIRECT, , , ,NOT_QBP,NA
13818,13818,13818,13818,1NB - OK,http://www.1nb.com/,580-223-1111,https://secure.fundsxpress.com/start/FNBTAOK,ACTIVE,BANKING&DIRECT, , , ,NOT_QBP,NA
527,527,527,13818,1NB - OK-DC,http://www.1nb.com,580-221-1102,http://www.1nb.com,ACTIVE,BANKING&DIRECT, , , ,NOT_QBP,NA
28578,28578,28578,28578,1st Advantage Bank,https://www.1stadvantagebank.com/,636-970-0440,https://1stadvantagebank.myebanking.net/#/login,ACTIVE,BANKING&DIRECT, , , ,NOT_QBP,NA
67653,67653,67653,67653,1st Advantage FCU,https://www.1stadvantage.org/,1-800-359-7650,https://www.1stadvantage.org/,ACTIVE,BANKING&DIRECT, , , ,NOT_QBP,NA
67652,67652,67652,67652,1st Advantage FCU - QB,https://www.1stadvantage.org/,800-359-7650,https://members.1stadvantage.org,ACTIVE,BANKING&DIRECT, , , ,NOT_QBP,NA
68532,68532,68532,68532,1st Advantage FCU CC,https://www.1stadvantage.org/,NA,https://www.1stadvantage.org/,ACTIVE, , , , ,NOT_QBP,NA
31893,31893,31893,31893,1st Bank Yuma,https://www.1stbankyuma.com/,(928) 783-3334,https://secure.1stbankyuma.com/Login,ACTIVE,BANKING&DIRECT, , , ,NOT_QBP,NA
54063,54063,54063,54063,1st Bank of Sea Isle City Business,https://www.1stbankseaisle.com/,609-263-8750,https://web2.secureinternetbank.com/EBC_EBC1151/Login/231271242,ACTIVE,BANKING&DIRECT, , , ,NOT_QBP,NA
14343,14343,14343,14343,1st Capital Bank,https://www.1stcapital.bank/,831-264-4000,https://web17.secureinternetbank.com/PBI_PBI1151/Login/121144612,ACTIVE,BANKING&DIRECT, , , ,NOT_QBP,NA
67139,67139,67139,67139,1st Capital Bank - CA,https://www.1stcapital.bank,(831) 264-4003,https://www.1stcapital.bank,ACTIVE,BANKING&DIRECT, , , ,NOT_QBP,NA
8759,8759,8759,8759,1st Capital Bank - DC,https://www.1stcapital.bank/,(831) 264-4000,https://www.1stcapital.bank/,ACTIVE,BANKING&DIRECT, , , ,NOT_QBP,NA
